"Instruction","Response","Category"
"গল্প সংখ্যা ৪৩ এর বৃষ্টির গানের মূল বিষয় কী?","বৃষ্টির গানের মূল বিষয় হলো বৃষ্টির মধ্যে একটি ছোট বিড়ালের গল্প।","Factual"
"গল্প সংখ্যা ৪৪ এর পাহাড়ের রহস্য কী?","পাহাড়ের রহস্য হলো একটি গুহার মধ্যে একটি অদ্ভুত আলো দেখা।","Factual"
"গল্প সংখ্যা ৪২ এর পাঠেক কে ছিল?","পাঠেকটি একজন ধনী সমাজসেবী ছিলেন।","Factual"
"গল্প সংখ্যা ৪৩ এর বৃষ্টির গানে কী ঘটেছিল?","বৃষ্টির গানে একটি ছোট বিড়াল একটি মায়ের সাথে বন্ধুত্ব করেছিল।","Factual"
"গল্প সংখ্যা ৪৪ এর রাজু কী খুঁজছিল?","রাজু একটি গুপ্তধন খুঁজছিল।","Factual"
"গল্প সংখ্যা ৪২ এর পাঠেকের কাজ কী ছিল?","পাঠেকের কাজ ছিল চিকিৎসা করা।","Factual"
"গল্প সংখ্যা ৪৩ এর বৃষ্টির গানের শিক্ষা কী?","বৃষ্টির গানের শিক্ষা হলো জীবনের ছোট ছোট মুহূর্তগুলির গুরুত্ব।","Reasoning"
"গল্প সংখ্যা ৪৪ এর রাজুর অনুভূতি কী ছিল?","রাজুর অনুভূতি ছিল আশ্চর্য এবং বিস্ময়।","Reasoning"
"গল্প সংখ্যা ৪২ এর পাঠেকের সাথে কী ঘটেছিল?","পাঠেকের সাথে একটি অচেনা পাঠেকের দেখা হয়েছিল।","Causal"
"গল্পটি কোন বিষয়ে আমাদের মনে করিয়ে দেয়?","গল্পটি আমাদের জীবনের ছোট ছোট মুহূর্তের গুরুত্ব মনে করিয়ে দেয়।","Factual"
"গল্পের মূল চরিত্র কে?","গল্পের মূল চরিত্র হল অবিনাশবাবু।","Factual"
"গল্পে বর্ণিত নীল খামটি কী?","গল্পে বর্ণিত নীল খামটি একটি পুরনো খাম যেটি অবিনাশবাবুর আলমারিতে পড়ে ছিল।","Factual"
"গল্পের শেষে বর্ণিত উক্তিটি কেন বলা হয়?","গল্পের শেষে বর্ণিত উক্তিটি বলা হয় কারণ এটি মানুষের জীবনের সারমর্মকে তুলে ধরে।","Causal"
"গল্পে বর্ণিত অচিনা পথেকের গল্পটি কী শিক্ষা দেয়?","গল্পে বর্ণিত অচিনা পথেকের গল্পটি আমাদের শিক্ষা দেয় যে মানুষের জীবনে অনেক অজানা ও অচিনা পথ থাকে যেগুলো আমাদের জীবনকে পরিবর্তন করতে পারে।","Reasoning"
"গল্পে বর্ণিত বৃষ্টির গানের গল্পটি কী বলে?","গল্পে বর্ণিত বৃষ্টির গানের গল্পটি বলে যে বৃষ্টির সময় একটি ছোট বিড়াল একটি মেয়ের সাথে বন্ধুত্ব করে।","Factual"
"গল্পে বর্ণিত পাহাড়ের রহস্য গল্পটি কী শিক্ষা দেয়?","গল্পে বর্ণিত পাহাড়ের রহস্য গল্পটি আমাদের শিক্ষা দেয় যে জীবনে অনেক রহস্য থাকে যেগুলো আমাদের আবিষ্কার করতে হয়।","Reasoning"
"গল্পের মূল বার্তা কী?","গল্পের মূল বার্তা হল মানুষের জীবনের ছোট ছোট মুহূর্তের গুরুত্ব।","Factual"
"গল্পে বর্ণিত চরিত্রগুলো কীভাবে আমাদের জীবনে প্রভাব ফেলে?","গল্পে বর্ণিত চরিত্রগুলো আমাদের জীবনে প্রভাব ফেলে কারণ তারা আমাদের জীবনের সারমর্মকে তুলে ধরে।","Causal"
"গল্পের শৈলী কী?","গল্পের শৈলী হল সরল ও সহজ।","Factual"
"গল্পের উদ্দেশ্য কী?","গল্পের উদ্দেশ্য হল মানুষের জীবনের ছোট ছোট মুহূর্তের গুরুত্ব তুলে ধরা।","Reasoning"
